ANIMAL	FATHER	MOTHER
1719	NA	NA
1720	NA	NA
1721	NA	NA
1722	NA	NA
30	NA	NA
1724	NA	572
1725	NA	1105
1726	NA	1252
1727	NA	27
1728	NA	423
1729	NA	910
1730	NA	1712
1731	NA	422
1732	NA	1638
1733	NA	551
1734	1604	420
1735	1223	1632
1736	NA	904
1737	NA	904
1738	564	574
1739	1644	205
1740	564	755
1741	1107	557
1742	743	424
1743	NA	1246
1744	1650	1101
1745	15	418
1746	895	1554
1747	NA	1095
1748	NA	905
1749	NA	1243
1750	NA	1080
1751	NA	1080
1752	NA	1108
1753	564	1664
1754	1617	1589
1755	NA	577
1756	1720	1226
1757	NA	1098
1758	NA	1649
1760	NA	906
1761	NA	1225
1762	1223	1259
1763	743	1242
1764	1629	1242
1765	1223	1090
1766	1223	1090
1767	NA	12
1768	575	1263
1769	1223	1089
1771	NA	NA
1772	NA	1038
1773	1617	1586
1774	564	1094
1775	575	5
1776	575	5
1777	NA	36
1778	NA	573
1779	1201	416
1780	NA	416
1781	NA	560
1782	1617	1076
1783	NA	571
1784	15	1597
1785	1099	1639
1786	NA	1663
1787	NA	NA
1788	NA	1077
1789	NA	1096
1790	NA	1623
1791	NA	1610
1792	1656	1081
1793	NA	1081
1794	NA	1552
1795	NA	27
1796	NA	1102
1797	20	1622
1798	1614	1606
1799	NA	1244
1800	NA	1483
1801	1201	753
1802	NA	753
1803	NA	23
1804	NA	1288
1805	NA	1264
1806	NA	747
1808	743	1082
1809	NA	1553
1810	NA	1289
1811	NA	1713
1812	NA	748
1813	1655	1255
1814	NA	NA
1816	NA	555
1817	17	1631
1818	NA	1106
1819	564	1605
1820	575	1262
1821	NA	NA
1822	NA	1097
1824	NA	1633
1825	NA	1083
1826	NA	1662
1827	NA	NA
1828	NA	1626
1829	NA	902
1830	NA	1641
1831	NA	1181
1832	NA	1073
1833	1201	1251
1834	15	560
1835	1598	1583
1836	NA	NA
1837	1107	562
1838	900	NA
1839	900	571
1840	900	NA
1841	NA	415
1843	1201	303
1844	NA	NA
1845	1107	557
1846	15	749
1847	NA	899
1848	NA	NA
1855	NA	21
1858	NA	NA
1859	NA	NA
1871	NA	NA
1872	17	NA
1873	1714	NA
1874	NA	NA
1876	15	425
1877	575	426
1878	564	NA
1879	NA	NA
1880	1643	1072
1881	743	NA
1882	NA	901
1883	564	1258
1884	743	1109
1885	15	752
1887	1223	1260
1889	1233	1261
1890	NA	1082
1891	1201	1079
1892	NA	1665
1893	NA	1078
1894	NA	571
1895	NA	1077
1896	NA	1645
1897	NA	1451
1899	NA	NA
4749	NA	1104
1900	NA	1483
1901	NA	1553
1902	NA	1096
1903	NA	1451
1904	NA	1264
1906	NA	752
1907	NA	748
1908	15	1583
1909	NA	1622
1910	NA	19
1911	NA	19
1913	NA	1774
1914	NA	1756
1915	575	1662
1916	NA	1750
1917	NA	1586
1918	NA	1094
1919	NA	420
1920	1223	1098
1921	1203	425
1925	NA	577
1926	NA	1606
1927	NA	557
1928	NA	906
1929	1621	906
1931	NA	1096
1932	NA	205
1933	NA	205
1934	NA	1610
1935	NA	1814
1936	NA	1264
1937	NA	1618
1938	NA	424
1939	1223	424
1940	575	1597
1941	NA	555
1942	NA	755
1943	NA	1665
1944	421	1742
1945	NA	1663
1946	743	13
1947	NA	1712
1948	NA	1108
1949	NA	753
1951	1715	NA
1952	NA	904
1953	575	902
1954	NA	418
1955	NA	418
1956	NA	1259
1957	NA	1836
1959	NA	1781
1960	1201	NA
1961	NA	1805
1962	NA	1744
1963	564	1089
1964	NA	1741
1965	NA	1243
1966	NA	1225
1967	NA	1848
1968	NA	1605
1969	NA	1623
1970	NA	1109
1971	NA	1109
1972	NA	1261
1973	17	1660
1974	1883	1664
1975	NA	303
1976	NA	1763
1979	NA	36
1980	743	1638
1981	1714	1073
1982	NA	1748
1983	NA	1754
1984	NA	1645
1985	NA	1226
1987	1223	24
1988	1223	24
1989	17	1260
1990	NA	1090
1991	NA	1090
1992	1201	749
1993	1223	1242
1994	900	1242
1995	NA	572
1996	NA	1288
1997	NA	1747
1998	NA	1101
1999	NA	1262
2000	NA	1825
2001	NA	1255
2002	575	1244
2003	NA	553
2004	NA	22
2005	NA	22
2006	NA	1641
2007	1201	751
2008	NA	1639
2009	NA	1822
2010	NA	1777
2011	NA	11
2012	NA	1626
2013	NA	1771
2014	NA	1897
2016	1223	1076
2017	NA	1631
2018	1107	1877
2019	NA	1082
2020	NA	1082
2021	NA	1263
2022	NA	23
2023	1107	1079
2024	NA	1552
2026	NA	1514
2027	1201	NA
2028	1714	1899
2030	NA	1713
2031	1740	1649
2032	NA	1761
2033	NA	1827
2034	1223	1097
2035	NA	1820
2037	NA	423
2038	1233	422
2039	1621	551
2040	1223	426
2041	NA	1891
2042	15	1251
2043	NA	1817
2044	1614	1882
2045	NA	1798
2046	NA	1252
2047	NA	574
2048	NA	21
2050	1099	14
2051	NA	1858
2052	NA	1859
2053	NA	NA
2054	1067	1632
2055	1719	571
2056	NA	571
2057	NA	754
2058	NA	754
2059	NA	1880
2060	NA	1258
2061	NA	901
2063	NA	910
2064	NA	1072
2065	NA	NA
2066	1604	899
2067	NA	904
2068	NA	1083
2069	NA	1095
2070	NA	1102
2071	1201	1246
2072	1722	747
2073	1615	905
2074	NA	1554
2075	900	560
2076	1107	NA
2077	NA	1106
2078	NA	1767
2080	NA	1844
2083	NA	1841
2084	NA	1769
2085	NA	1876
2087	NA	1821
2088	NA	1666
2089	NA	1773
2090	NA	1834
2091	NA	1779
2093	NA	1810
4750	NA	1038
4751	NA	1104
4752	NA	1633
42	NA	NA
43	NA	NA
84	NA	NA
2094	NA	1741
2095	NA	1094
2096	NA	1246
2097	1604	27
2098	575	1073
2099	NA	577
2100	NA	1097
2101	NA	1106
2102	NA	1260
